"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"28","Maryland","Maryland|Maryland TAC|MD RC CGR DST|MD Tyaskin VHF|MD Interstate-2|BM Parrot-1|BM Disconnect|FDMR Maryland|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Maryland TAC","440.92500","440.92500","Maryland","440.92500","440.92500","0"
"29","Massachuetts","Massachusetts|MA TAC|Boston Metro|MA Berkshire Co.|MA XRF054 C|MA HCRA|MA NEARC|MA OTIS-1|MA OTIS-2|MA WB1GOF Bridge|BM Parrot-1|BM Disconnect|FDMR Massachuset|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","MA TAC","440.92500","440.92500","Massachusetts","440.92500","440.92500","0"
"30","Michigan","Michigan|West Michigan|Michigan UP|Detroit Metro|MI WX ARES EmCom|Mi5 R5 AUXCOMM|Mi5-STATEWIDE-1|Mi5-STATEWIDE-2|Mi5-EVENT-1|Mi5-EVENT-3|Michigan DRG|Michigan RADAR|Michigan WMTG|Howell, MI -1|Howell, MI -2|Albion Michigan|Kalamazoo MI|Gogebic Michigan|Ann Arbor, MI|Lansing Michigan|Charlotte MI|Waterlo Michigan|Munith Michigan|BM Parrot-1|BM Disconnect|FDMR Michigan|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","West Michigan","440.92500","440.92500","Michigan","440.92500","440.92500","0"
"31","Minnesota","Minnesota|Minnesota TAC|Cntrl Minnesota|Minnesota Metro|MN Northstar HUB|Minnesota AARG|Southern MN|Minnesota ARES|Brocklyn Park,MN|Waseca Minnesota|Isanti Minnesota|BM Parrot-1|BM Disconnect|FDMR Minnesota|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Minnesota TAC","440.92500","440.92500","Minnesota","440.92500","440.92500","0"
"32","Missouri","Missouri|SW Missouri|SW MO SkyWarn|St. Louis Metro|Missouri Branson|Branson Metro|NW Missouri|SE Missouri|Central Missouri|Missouri ARES|MO KC No. ARES|MO CASS Co ARES|Missouri Lakes|Arnold Missouri|Osage Beach MO|Cole Camp MO|Missouri SecKC|Plattsburg MO|Washington MO|BM Parrot-1|BM Disconnect|FDMR Missouri|FDMR KS CityWide|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","SW Missouri","440.92500","440.92500","Missouri","440.92500","440.92500","0"
"33","Montana","Montana|Montana Chat|Montana MPRG-1|Montana MPRG-2|Montana MPRG-3|Montana MPRG-4|Montana BGV|Montana NW7RG|MT Bitterroot Vy|Montana ARES|BM Parrot-1|BM Disconnect|FDMR Montana|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Montana Chat","440.92500","440.92500","Montana","440.92500","440.92500","0"
"34","Nebraska","Nebraska|Nebraska Chat|Nebraska EmComm|Nebraska HUB|BM Parrot-1|BM Disconnect|FDMR Nebraska|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Nebraska Chat","440.92500","440.92500","Nebraska","440.92500","440.92500","0"
"35","Nevada","Nevada|Nevada TAC|Nevada 1|Nevada ARES|Nevada ENARS|Nevada 4|Nevada HXO|Burning Man NV|Las Vegas Metro|Nevada SNARS-1|Nevada SNARS-2|Ely Nevada|Laughlin Nevada|Red Mtn Nevada|Nevada Fallon|Elko Nevada|BM Parrot-1|BM Disconnect|FDMR Nebraska|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","Nevada TAC","440.92500","440.92500","Nevada","440.92500","440.92500","0"
"36","New Hampshire","New Hampshire|NH TAC|NH EmComm|NH North|NH South|NH East|NH West|NH Alstead|BM Parrot-1|BM Disconnect|FDMR NH|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","NH TAC","440.92500","440.92500","New Hampshire","440.92500","440.92500","0"
"37","New Jersey","New Jersey|New Jersey TAC|Cntrl New Jersey|South Jersey, NJ|North Jersey, NJ|N2MO OMARC, NJ|Ocean County, NJ|K2DMR STORM NJ-R|Riverdale, NJ|Belleville, NJ|Springfield, NJ|Lk Hopatcong, NJ|Ocean Co, NJ|Hoboken, NJ CERT|Elizabeth Sch,NJ|BM Parrot-1|BM Disconnect|FDMR New Jersey|FDMR NY-NJ-PA|FDMR So. Jersey|FDMR No. Jersey|FDMR Disc","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500|440.92500","New Jersey TAC","440.92500","440.92500","New Jersey","440.92500","440.92500","0"
