"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"12","California","California|California TAC|California 1|Mtn West|Mtn West-1|CalNet|NorCal AllStar|SoCal|SoCal 1|NorCal|NorCal 1|NorCal Disaster|NorCal 5150|NorCal-DMR|Western States|Ventura County-1|Ventura County-2|Palos Verdes ARC|PVARC-?|SantaBarbara, CA|Clara County, CA|Sonoma Co, CA|BayNet|BayCom-1|BayCom-2|Bay Area ARC|Bay Area-1|San Francisco-1|San Francisco-2|California CDM|PAPA Chat|PAPA Bridge|CA Alert Radio|PINOYHAMS, CA|CA FDMRCCU|Tri-Lert ERT|California CARLA|Kings of Digital|C.A.R.E.S. Ecom|Jefferson State|SanDiego S&R|SanDiego K6RRR-1|SanDiego K6RRR-2|SanDiego K6RRR-3|SanDiego W6RDX-1|SanDiego W6RDX-2|Redlands, CA-1|FDMR Disc|FDMR BayArea Dig|FDMR Western Dig|FDMR San Diego|FDMR NorCal|FDMR CA TAC|FDMR CA Link|FDMR California|BM Parrot-1|BM Disconnect|Alphabet Club,CA|Vallejo, CA|Portola Valley|Blythe, CA|Unknown CA-1|Bear Mountain,CA|Walnut Grove, CA|Vacaville, CA|Tehachapi, CA|San Jose, CA|Escondido, CA|Hayward, CA|Fallbrook, CA|Sacrament Valley|Newport Beach,CA|Calimesa, CA|Valley Center,CA|Wilton, CA|Sausalito, CA|Livermore, CA|Pittsburg, CA","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","California","438.80000","438.80000","California TAC","438.80000","438.80000","0"
"13","Colorado","Colorado|Colorado Chat|Colorado-Link|Colorado ARESDEC|Colorado ARES|Colorado WA0RES|Severe WX, CO|NorthernColorado|Western Colorado|Ski Co ARC, CO|Colorado IRG|Fun Machine, CO|Colorado HD|Hytera USA, CO|Castle Rock,CO-1|Castle Rock,CO-2|Castle Rock,CO-3|Squaw Mtn, CO|Denver Colorado|Denver RadioClub|Denver SkyHUB,CO|Rocky Mtn HR, CO|Rocky Mtn Rad,CO|North Mtn FR, CO|Almagre Mtn, CO|Pueblo Colorado|Park County, CO|Parker Colorado|Boulder South,CO|Golden, CO|Durango Colorado|Red Feather, CO|Silverthorne, CO|Simla Colorado|Lakewood, CO|BM Disconnect|BM Parrot-1|FDMR Colorado|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Colorado Chat","438.80000","438.80000","Colorado","438.80000","438.80000","0"
"14","Connecticut","Connecticut|Connecticut TAC|Connecticut Chat|Connecticut PVRA|Connecticut CDRA|Cornwall, CT|Bristol, CT|BM Disconnect|BM Parrot-1|FDMR Connecticut|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Connecticut TAC","438.80000","438.80000","Connecticut","438.80000","438.80000","0"
"15","Delaware","Delaware|Delaware TAC|BM Parrot-1|BM Disconnect|FDMR Delaware|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Delaware TAC","438.80000","438.80000","Delaware","438.80000","438.80000","0"
"16","D. C.","Washington D.C.|D.C.-TAC|BM Parrot-1|BM Disconnect|FDMR Delaware|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","D.C.-TAC","438.80000","438.80000","Washington D.C.","438.80000","438.80000","0"
"17","Florida","Florida|Florida TAC|First Coast,FL|West Central,FL|TreasureCoast,FL|Nature Coast, FL|Gulf Coast, FL|Southeast, FL-1|Southeast, FL-2|Florida DEARS|Florida ARES|Florida NE ARES|Orlando Florida1|Orlando Florida2|Orlando Florida3|Milton Florida-1|Milton Florida-2|Beverly Hills,FL|Palm Bay,FL-1|Palm Bay,FL-2|Palm Bay,FL-3|Palm Coast,FL|W PalmBeach,FL-1|W PalmBeach,FL-2|Pompano Beach,FL|Englewood,FL|Punta Gorda,FL-1|Punta Gorda,FL-2|Jacksonville,FL1|Jacksonville,FL2|Hudson,FL-1|Hudson,FL-2|Space Center,FL|Portable RPT,FL|BRARA SE-FL|Florida HotSpots|Marco Island,FL|Lake Worth Ch,FL|Callahan,FL|Fort Myers,FL|Pensacola,FL|Miami Florida|Deland Florida|Ocala Florida|St Augustine,FL|Sarasota Florida|Cudjoe Key,FL|Key West Florida|Okeechobee, FL|Allstar 46031,FL|Wellington,FL|BM Parrot-1|BM Disconnect|FDMR Florida|FDMR FloridaKeys|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Florida TAC","438.80000","438.80000","Florida","438.80000","438.80000","0"
"18","Georgia","Georgia|South Georgia|North Georgia|Centra lGeorgia|Southwest, GA|Georgia ARES|Atlanta Metro-1|Atlanta Metro-2|Georgia SkyWarn|Forsyth Georgia|Concord Georgia|Savannah Georgia|Douglas Georgia|Kingsland, GA|Marietta Georgia|Eatonton Georgia|Athens Georgia|Folkston, GA|Clermont, GA|GA KingsLand Dig|Carnesville, GA|GA SETN NWGA|GA CLHUB MMDVM|GA MMDVM Bridge|BM Parrot-1|BM Disconnect|FDMR Georgia|FDMR Georgia Dig|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","South Georgia","438.80000","438.80000","Georgia","438.80000","438.80000","0"
"19","Hawaii","Hawaii|Hawaii TAC-1|Hawaii 2|Hawaii Maui Co|Hawaii Honolulu|Hawaii County|Hawaii Kauai Co|Hawaii HMASN|Hawaii DEM|Hawaii DMR Net|Haleakala, HI|Hawaii Wailuku|BM Parrot-1|BM Disconnect|FDMR Hawai|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Hawaii TAC-1","438.80000","438.80000","Hawaii","438.80000","438.80000","0"
"20","Idaho","Idaho ARES|Idaho ARES North|Central ID ARES|SE ID ARES|SW ID ARES|Idaho ARES TAC|Southwest Idaho|Cascade Idaho|Boise Idaho|BM Parrot-1|BM Disconnect|FDMR Idaho|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Idaho ARES","438.80000","438.80000","Idaho ARES North","438.80000","438.80000","0"
"21","Illinois","Illinois|IL Round Lake|Illinois Link|Illinois CHI-NET|N Illinois EComm|East Cntrl,IL WX|NA Astronomy,IL|Chicago Metro|East Central,IL|Illinois WX CTAC|Woodford,IL ARES|Chicago Star,IL|Schaumburg,IL|Winnebago,IL|Morton,IL|Danville,IL|Cntrl,IL SkyWarn|BM Parrot-1|BM Disconnect|FDMR Illinois|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","IL Round Lake","438.80000","438.80000","Illinois","438.80000","438.80000","0"
"22","Indiana","Indiana|Indiana TAC|Indiana Link|Indiana WX Ops|Parke-Vermillion|Southern, IN|Crossroads, IN|Covington, IN|Indianapolis, IN|W Lafayette, IN|FDMR Disc|FDMR Indiana|BM Disconnect|BM Parrot-1|Fort Wayne, IN|Connersville, IN|Auburn, IN|St. Charles, IN|Newport, IN","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Indiana TAC","438.80000","438.80000","Indiana","438.80000","438.80000","0"
"23","Iowa","Iowa|Iowa Chat|Iowa DSM -1|Iowa ALO -2|Iowa NW -3|Iowa SW -4|Iowa SE -5|Iowa CID -6|Iowa WC -7 ARES|Iowa NWS DVN|IA NWS DMX/SEOC|Clear Lake Iowa|Sioux City, IA|Muscatine Iowa|BM Parrot-1|BM Disconnect|FDMR Iowa|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Iowa Chat","438.80000","438.80000","Iowa","438.80000","438.80000","0"
"24","Kansas","Kansas|Kansas City Wide|Kansas Link|Central Kansas|Kansas BYRG|KS BYRG Spotting|Kansas SW ARES|KS KC SkyWarn|Cntrl KS SkyWarn|WY CO, KS RACES|WY CO, KS CERT|BM Parrot-1|BM Disconnect|FDMR Kansas|FDMR KS CityWide|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Kansas City Wide","438.80000","438.80000","Kansas","438.80000","438.80000","0"
"25","Kentucky","Kentucky|Kentucky TAC|East Kentucky|Kentucky ARES|NE Kentucky WX|Kentucky NEMARC|Tennessee, KY|Kentucky VARG|Owensboro, KY|Prestonsburg, KY|Louisa Kentucky|Blackey, KY|Clearfield, KY|KY Super Trucker|KY D-Star XLX|KY US-Triple 5|BM Parrot-1|BM Disconnect|FDMR Kentucky|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Kentucky TAC","438.80000","438.80000","Kentucky","438.80000","438.80000","0"
"26","Louisiana","Louisiana|Louisiana Chat|ArkLaTex|SE Louisiana|SWLouisiana-Link|GulfCoast Lk Sys|LA SELCOM Group|LA AUXCOMM|Louisiana ARES|Acadiana, LA DMR|LA XRF048 C|BM Parrot-1|BM Disconnect|FDMR Louisiana|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Louisiana Chat","438.80000","438.80000","Louisiana","438.80000","438.80000","0"
"27","Maine","Maine|Maine TAC|Biddeford Maine|BM Parrot-1|BM Disconnect|FDMR Maine|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Maine TAC","438.80000","438.80000","Maine","438.80000","438.80000","0"
"28","Maryland","Maryland|Maryland TAC|MD RC CGR DST|MD Tyaskin VHF|MD Interstate-2|BM Parrot-1|BM Disconnect|FDMR Maryland|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Maryland TAC","438.80000","438.80000","Maryland","438.80000","438.80000","0"
"29","Massachuetts","Massachusetts|MA TAC|Boston Metro|MA Berkshire Co.|MA XRF054 C|MA HCRA|MA NEARC|MA OTIS-1|MA OTIS-2|MA WB1GOF Bridge|BM Parrot-1|BM Disconnect|FDMR Massachuset|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","MA TAC","438.80000","438.80000","Massachusetts","438.80000","438.80000","0"
"30","Michigan","Michigan|West Michigan|Michigan UP|Detroit Metro|MI WX ARES EmCom|Mi5 R5 AUXCOMM|Mi5-STATEWIDE-1|Mi5-STATEWIDE-2|Mi5-EVENT-1|Mi5-EVENT-3|Michigan DRG|Michigan RADAR|Michigan WMTG|Howell, MI -1|Howell, MI -2|Albion Michigan|Kalamazoo MI|Gogebic Michigan|Ann Arbor, MI|Lansing Michigan|Charlotte MI|Waterlo Michigan|Munith Michigan|BM Parrot-1|BM Disconnect|FDMR Michigan|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","West Michigan","438.80000","438.80000","Michigan","438.80000","438.80000","0"
"31","Minnesota","Minnesota|Minnesota TAC|Cntrl Minnesota|Minnesota Metro|MN Northstar HUB|Minnesota AARG|Southern MN|Minnesota ARES|Brocklyn Park,MN|Waseca Minnesota|Isanti Minnesota|BM Parrot-1|BM Disconnect|FDMR Minnesota|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Minnesota TAC","438.80000","438.80000","Minnesota","438.80000","438.80000","0"
"32","Missouri","Missouri|SW Missouri|SW MO SkyWarn|St. Louis Metro|Missouri Branson|Branson Metro|NW Missouri|SE Missouri|Central Missouri|Missouri ARES|MO KC No. ARES|MO CASS Co ARES|Missouri Lakes|Arnold Missouri|Osage Beach, MO|Cole Camp, MO|Missouri SecKC|Plattsburg, MO|Washington, MO|BM Parrot-1|BM Disconnect|FDMR Missouri|FDMR KS CityWide|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","SW Missouri","438.80000","438.80000","Missouri","438.80000","438.80000","0"
"33","Montana","Montana|Montana Chat|Montana MPRG-1|Montana MPRG-2|Montana MPRG-3|Montana MPRG-4|Montana BGV|Montana NW7RG|MT Bitterroot Vy|Montana ARES|BM Parrot-1|BM Disconnect|FDMR Montana|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Montana Chat","438.80000","438.80000","Montana","438.80000","438.80000","0"
