"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"1","Favorites","Lucedale|Mississippi|Mississippi TAC|Geeks in Jeeps|BM Disconnect|BM Parrot-1|FDMR Mississippi|FDMR Southeast|FDMR Disc|TGIF Parrot|TGIF Exit","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Lucedale","438.80000","438.80000","Lucedale","438.80000","438.80000","0"
"2","George HS","Lucedale|Mississippi|Mississippi TAC|Southeast|First Coast,FL|US Hurricane Net|Kingsland, GA|Alabama|Alabama Link|Florida|Louisiana|SE Louisiana|Texas|BM Parrot-1|BM Disconnect","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Lucedale","438.80000","438.80000","Alabama Link","438.80000","438.80000","0"
"3","George Rpt","Lucedale VHF|Lucedale Cross|Greene VHF|Greene UHF|Lucedale Sim .12|Greene Sim .00|Lucedale TAC1|Rpt GC3 North Am|Rpt GC MS SW|Rpt GC SE Region|Rpt Lucedale TG|Rpt GC9 Local|Rpt GC Hurricane|Rpt GC 1st Coast|Rpt GC MS TAC|Rpt GC Kingsland|Rpt GC Disc TS2|Rpt GC Disc TS1|Rpt GC Parrot|Rpt GC WW Eng|Rpt GC WW|Rpt GC North Am|RptGC USA TAC310|RptGC USA TAC311|RptGC USA TAC312|RpGC USA Calling|Rpt GC AL SW|Rpt GC FL SW|Rpt GC LA SW|Rpt GC TX SW|Rpt GC AL Link|Rpt GC SE LA","147.12000|145.33000|147.00000|444.22500|147.12000|147.00000|146.42000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000|444.20000","147.72000|446.80000|147.60000|449.22500|147.12000|147.00000|146.42000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000|449.20000","Rpt GC9 Local","444.20000","449.20000","Lucedale VHF","147.12000","147.72000","0"
"4","Hattiesburg Rpt","Hattiesburg .670|Hattiesburg .775|Hattiesburg .315|W5NRU-L|N5LRQ|W5CJR|W5USM AllStar|K5IJX","146.67000|146.77500|147.31500|442.70000|442.72500|443.70000|444.35000|444.77500","146.07000|146.17500|147.91500|447.70000|447.72500|448.70000|449.35000|449.77500","Hattiesburg .775","146.77500","146.17500","Hattiesburg .670","146.67000","146.07000","0"
"5","Mississippi","Mississippi|Mississippi TAC|Lucedale|MS XRF813 A|Northeast, MS|Blind Hams-ASL|Amory, MS|West Point, MS|BM Parrot-1|BM Disconnect|FDMR Mississippi|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Mississippi","438.80000","438.80000","Mississippi TAC","438.80000","438.80000","0"
"6","Simplex","2M Call|Simplex 146.535|Nat ARES Smplx|Simplex 146.565|Simplex 146.580|Simplex 146.595|Simplex 147.495|Simplex 147.510|Simplex 147.525|Simplex 147.540|Simplex 147.555|Simplex 147.570|Simplex 147.585","146.52000|146.53500|146.55000|146.56500|146.58000|146.59500|147.49500|147.51000|147.52500|147.54000|147.55500|147.57000|147.58500","146.52000|146.53500|146.55000|146.56500|146.58000|146.59500|147.49500|147.51000|147.52500|147.54000|147.55500|147.57000|147.58500","2M Call","146.52000","146.52000","Alabama","438.80000","438.80000","0"
"7","DMR Simplex","DMR Sim 146.420|DMR Sim 146.440|DMR Sim 146.460|DMR Sim 147.420|DMR Sim 147.440|DMR Sim 147.460|DMR Sim 147.480","146.42000|146.44000|146.46000|147.42000|147.44000|147.46000|147.48000","146.42000|146.44000|146.46000|147.42000|147.44000|147.46000|147.48000","DMR Sim 146.440","146.44000","146.44000","DMR Sim 146.420","146.42000","146.42000","0"
"8","Alabama","Alabama|Alabama TAC|Alabama Link|Gulf Coast, AL|Old Quadnet, AL|Alabama ALERT|Huntsville, Al|Central Alabama|Northwest AL|East Alabama|Tuscaloosa, AL|Tallapoosa Co,AL|Chelsea, AL|96 ARC, AL|Alexander, AL|Pinson, AL MMDVM|BM Disconnect|BM Parrot-1|FDMR Alabama|FDMR AlabamaLink|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Alabama TAC","438.80000","438.80000","Alabama","438.80000","438.80000","0"
"9","Alaska","Alaska|Alaska TAC|AK Contesting|Alaska SkyWarn|Fairbanks AK-YSF|FDMR Alaska|BM Disconnect|BM Parrot-1|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Alaska TAC","438.80000","438.80000","Alaska","438.80000","438.80000","0"
"10","Arizona","Arizona|Arizona TAC|Arizona EmComm|AZ OEI Rpt Group|Tucson Arizona|Payson Arizona|Ash Fork Arizona|Pinetop-Lakeside|BM Disconnect|BM Parrot-1|FDMR Arizona|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Arizona TAC","438.80000","438.80000","Arizona","438.80000","438.80000","0"
"11","Arkansas","Arkansas|Arkansas TAC|Arkansas WX|Arkansas ARES|North Central,AR|Northwest, AR|LittleRock Metro|Little Rock, AR|Harrison, AR|Jonesboro, AR|Mena, AR|HotSprings Local|Pine Bluff Local|Jasper, AR|Malvern, AR|Marianna, AR|Royal, AR|Conway, AR-YSF|2M Crew, AR|Geeks Jeeps, AR|KC5DJR-R|BM Disconnect|BM Parrot-1|FDMR Arkansas|FDMR ArkansasTAC|FDMR NW Arkansas|FDMR FAY AR|FDMR LittleRock|FDMR Disc","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000|438.80000","Arkansas TAC","438.80000","438.80000","Arkansas","438.80000","438.80000","0"
